regiao,concelho_id,concelho,freguesia_id,freguesia,tipologia,estado,agregacao,janela_temporal,periodo_referencia,n,p5,p25,media,p75,p95,fonte_ficheiro
AM Lisboa,150400,Barreiro,150407,Sto António da Charneca,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1876.0,2524.0,2781.0,3194.0,3598.0,AML.xlsx
AM Lisboa,150400,Barreiro,150407,Sto António da Charneca,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1023.0,2352.0,2686.0,3199.0,3764.0,AML.xlsx
AM Lisboa,150400,Barreiro,150407,Sto António da Charneca,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,966.0,2215.0,2643.0,3139.0,3783.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2194.0,2942.0,3929.0,4507.0,6402.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2089.0,2674.0,3142.0,3571.0,4229.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2081.0,2653.0,3046.0,3462.0,4071.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,937.0,1438.0,2494.0,3622.0,4750.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,937.0,1364.0,2442.0,3793.0,4750.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2258.0,2877.0,3854.0,4394.0,6383.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1913.0,2651.0,3099.0,3571.0,4244.0,AML.xlsx
AM Lisboa,150400,Barreiro,0,Total,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1883.0,2603.0,3005.0,3462.0,4079.0,AML.xlsx
AM Lisboa,150400,Barreiro,150409,UF Alto Seixalinho e Sto André,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,2790.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150409,UF Alto Seixalinho e Sto André,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2039.0,2706.0,3134.0,3571.0,4076.0,AML.xlsx
AM Lisboa,150400,Barreiro,150409,UF Alto Seixalinho e Sto André,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2101.0,2756.0,3149.0,3574.0,4095.0,AML.xlsx
AM Lisboa,150400,Barreiro,150409,UF Alto Seixalinho e Sto André,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,2790.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150409,UF Alto Seixalinho e Sto André,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2044.0,2711.0,3137.0,3570.0,4072.0,AML.xlsx
AM Lisboa,150400,Barreiro,150409,UF Alto Seixalinho e Sto André,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2105.0,2765.0,3151.0,3571.0,4091.0,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2785.0,3638.0,4249.0,4830.0,6461.0,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2143.0,2664.0,3228.0,3666.0,4971.0,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2127.0,2577.0,2949.0,3319.0,4099.0,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2537.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2537.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2785.0,3638.0,4249.0,4830.0,6461.0,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1891.0,2604.0,3186.0,3689.0,4883.0,AML.xlsx
AM Lisboa,150400,Barreiro,150410,UF Barreiro e Lavradio,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1861.0,2563.0,2917.0,3333.0,4118.0,AML.xlsx
AM Lisboa,150400,Barreiro,150411,UF Palhais e Coina,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2823.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150411,UF Palhais e Coina,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2823.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150411,UF Palhais e Coina,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2631.0,,,AML.xlsx
AM Lisboa,150400,Barreiro,150411,UF Palhais e Coina,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2617.0,,,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,3080.0,3889.0,4685.0,4893.0,8966.0,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,3038.0,3792.0,4554.0,4863.0,7883.0,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Moradia,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,5850.0,,,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1806.0,3583.0,5410.0,5916.0,16858.0,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1629.0,3195.0,5281.0,5642.0,18207.0,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,5940.0,,,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2850.0,3741.0,4965.0,5250.0,9351.0,AML.xlsx
AM Lisboa,110500,Cascais,110501,Alcabideche,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2833.0,3684.0,4806.0,5132.0,9561.0,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2706.0,3400.0,4068.0,4639.0,6000.0,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2702.0,3338.0,4050.0,4635.0,6000.0,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Moradia,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,3260.0,4423.0,5939.0,,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1324.0,2327.0,3475.0,4497.0,6404.0,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1260.0,1796.0,2764.0,3343.0,5556.0,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2314.0,3319.0,4462.0,5786.0,6495.0,AML.xlsx
AM Lisboa,110500,Cascais,110506,S Domingos de Rana,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2247.0,3172.0,3933.0,4622.0,6017.0,AML.xlsx
